"","Keywords"
"1","Machine Learning"
"2","Cloud Computing"
"3","Data Mining"
"4","Data Science Seminar"
"5","Numerical Linear Algebra"
"6","Discrete Mathematics"
"7","Algorithms"
"8","Optimization"
"9","Stochastic"
"10","Probability"
"11","Statistical Inference"
"12","Regression"
"13","Statistical Modeling"
"14","Data Mining"
"15","Software Design"
"16","Natural Language Processing"
"17","NLP"
"18","Neural Networks"
"19","Big Data"
"20","Linear and Nonlinear Models"
"21","Capstone"
"22","Tableau"
"23","Mathematics and Statistics"
"24","Computer Science"
"25","Engineering"
"26","Big Data"
"27","Hadoop"
"28","R"
"29","Python"
"30","SQL"
"31","MySQL"
"32","NoSQL"
"33","Apache Spark"
